# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T10:25:01Z
# N: 10000000  M: 20 (converged=true, min=8, max=20)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
22,1.688085177529183e-4,4.5065,1.726071218865196e-4,3.6701,1.722714488876900e-4,1.8412,1.485188731250564e-4,4.3750,1.518057693892392e-4,-10.3640,1.550033514336345e-4,3.1768,3.2449938130067496e-2,7.4763650810860255e-3,1.3544792145716792e-7,1.1815433674109836e-7,1.482735148745239e-4,4.3497,4.55,6.53,7.73,4.45,301.923836,1.079539,10.644344,1.969496,316.315023,5.353833,2.721812,3.91425118020533e-3,3.542147402972097e-4
23,1.562290008063690e-4,2.5248,1.658911297806164e-4,1.7117,1.616694327441603e-4,4.4049,1.349096462928162e-4,-3.3378,2.693826301872084e-4,3.4804,1.517245897334209e-4,1.9073,4.303466504413931e-2,7.079961632437459e-3,1.796307234890118e-7,1.1187572214101827e-7,1.374442890563275e-4,4.0581,4.55,6.53,7.73,4.45,317.326957,6.526544,7.285077,327.006460,3.992558,5.388350,3.135407,5.253653463514778e-3,3.574639039305141e-4
24,1.512479420790242e-4,2.5063,1.602200975482541e-4,3.2091,1.422282594272958e-4,7.3527,1.717303162789196e-4,-0.7379,1.304753474248711e-4,19.4799,1.426604828023840e-4,3.7978,5.715084808054736e-2,6.597215286925184e-3,2.38557546199962e-7,1.0423155062541131e-7,1.242762414059207e-4,3.6139,4.55,6.53,7.73,4.45,331.111349,1.002783,11.306048,337.994689,343.235355,4.599934,3.077951,6.092339173606736e-3,3.9489625865769004e-4
25,1.407283460315124e-4,2.0190,1.451169275099836e-4,5.0342,1.189870002654960e-4,5.4731,1.391242726880962e-4,11.8155,1.195817522295346e-4,5.1974,1.295065718838506e-4,2.8841,7.431218893086085e-2,6.01093724921564e-3,3.101935111811581e-7,9.496658899727848e-8,1.182203886597473e-4,2.9933,4.55,6.53,7.73,4.45,4.663086,5.520130,14.820435,353.600549,3.468078,4.582401,3.530187,6.624628930576186e-3,4.1172130536762126e-4
26,1.395071429257117e-4,3.0833,1.309837202251433e-4,4.3915,1.142504433325434e-4,2.9938,1.070237896124769e-4,8.7432,1.059721432010635e-4,4.3202,1.271085110231653e-4,2.3009,9.30041613211032e-2,5.286754191718023e-3,3.882205502557098e-7,8.352560964907665e-8,1.102456732836754e-4,4.1986,4.55,6.53,7.73,4.45,0.944035,3.412812,14.184701,364.372324,4.612117,3.950055,4.015869,6.213249575512298e-3,3.651796254286338e-4
27,1.249839506162964e-4,4.7300,1.225540439247133e-4,3.1580,1.060392899224183e-4,4.7334,9.937724529598302e-5,4.1000,1.012664711869104e-4,2.6076,1.185331410986395e-4,3.8603,1.109720561030068e-1,4.6453609189697626e-3,4.632250623105691e-7,7.338382412184516e-8,1.005831180872374e-4,4.4626,4.55,6.53,7.73,4.45,3.470149,1.232604,15.183092,2.122866,3.887618,5.426399,4.139925,5.278812614243983e-3,3.5712174135571056e-4
28,1.170792541566404e-4,3.2770,1.165192756598146e-4,2.8675,9.587072420533301e-5,3.7454,9.193934150648699e-5,3.6730,9.621209929081939e-5,4.6893,1.101673210856305e-4,4.9363,1.2625574916534105e-1,3.902937512149806e-3,5.270221853254698e-7,6.164721982235134e-8,9.344308945531117e-5,2.2146,4.55,6.53,7.73,4.45,1.096087,1.100019,18.075629,1.845418,6.086403,8.605155,5.519944,3.985100941129581e-3,3.694903011782935e-4
29,1.111744808999335e-4,4.7801,1.106195022111151e-4,3.0909,9.275763527221323e-5,3.0643,8.715492001632578e-5,3.5389,8.564476260761911e-5,3.5282,9.936700292663273e-5,5.6755,1.3582329129019488e-1,3.162365025560341e-3,5.669662716515303e-7,4.995255514354565e-8,9.293111627384511e-5,1.5765,4.55,6.53,7.73,4.45,398.376107,1.182506,18.198307,2.264908,5.609273,7.173504,5.373631,3.810629619597963e-3,3.1650274112055905e-4
30,9.928118760239605e-5,4.3049,1.047347281864376e-4,1.8285,8.625364007759427e-5,-0.0393,8.137354109203810e-5,4.4882,8.518668085481305e-5,2.8861,9.057826838447983e-5,5.1145,1.3944911419032352e-1,2.488637148917822e-3,5.821004271504115e-7,3.931154005377132e-8,8.849695554600884e-5,4.0938,4.55,6.53,7.73,4.45,278.987781,4.040045,12.743997,2.420825,5.050318,5.249485,4.930930,5.130190966062874e-3,2.5625689252772963e-4
32,8.994654605263157e-5,3.2416,1.010986178130760e-4,2.6093,9.293706961905978e-5,2.8473,6.987990120311104e-5,3.3219,7.430325857002459e-5,4.1438,7.725291461180631e-5,3.4344,1.262138566336009e-1,1.381104723100156e-3,5.268505312115954e-7,2.1815807057602885e-8,7.597169722009868e-5,4.9930,4.55,6.53,7.73,4.45,0.999489,0.913589,8.282362,1.649165,5.372337,5.825573,3.748472,7.988983806369108e-3,1.906448072058963e-4
