# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T04:13:44Z
# N: 10000000  M: 12 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
22,1.771098656478258e-4,3.6177,1.706080319849051e-4,3.6825,1.557914290865346e-4,3.4343,1.420071247391771e-4,4.7006,1.459165539440270e-4,-16.7936,1.551754385103030e-4,4.4420,3.2362593104600504e-2,7.3939063758857735e-3,1.350926277967765e-7,1.1713913260469075e-7,1.405969744214131e-4,3.7214,4.55,6.53,7.73,4.45,0.589408,1.260626,11.907548,2.005924,413.899337,5.019641,3.153119,3.8222418785498354e-3,3.8127374145968137e-4
23,1.648270039763806e-4,3.5605,1.683060370481773e-4,0.4495,1.383107491032947e-4,5.2601,1.298220029420574e-4,-7.7184,3.453567036430243e-4,5.1805,1.493139743094429e-4,1.5592,4.2947344332530835e-2,6.921559424448986e-3,1.792766502810268e-7,1.0964068042196258e-7,1.336801823953581e-4,4.5064,4.55,6.53,7.73,4.45,0.882255,8.418308,6.694311,428.499942,3.811902,6.691668,3.228783,5.006601513178865e-3,3.610456256295001e-4
24,1.516941749436821e-4,3.8199,1.673039921933664e-4,3.1044,1.239244557901121e-4,6.2026,1.986749584268698e-4,-3.4409,1.164724052968752e-4,28.8902,1.449982429987300e-4,3.7047,5.699526101402353e-2,6.451377778418754e-3,2.3792731527016072e-7,1.0217873766576054e-7,1.155659759467065e-4,4.1688,4.55,6.53,7.73,4.45,0.627274,1.133778,13.244335,443.418404,448.398558,4.654374,3.638398,5.7232527735214716e-3,3.97788773521839e-4
25,1.405612691139327e-4,3.3451,1.478734883247150e-4,6.0278,1.067948897152256e-4,3.5654,1.498475053261555e-4,15.9020,1.035568338879690e-4,4.7031,1.279450235521257e-4,3.0411,7.402853291361729e-2,5.904806115337592e-3,3.090452980177136e-7,9.35157042400344e-8,1.123535448313276e-4,2.3575,4.55,6.53,7.73,4.45,0.802837,7.171871,14.528049,463.543310,3.309883,4.870813,4.132694,6.04877923640396e-3,4.5176017947179284e-4
26,1.326865715023210e-4,3.2099,1.314428692604871e-4,4.8634,1.074450234802477e-4,0.4251,1.051356893218269e-4,11.2599,9.648891297163339e-5,3.0157,1.283823785561261e-4,2.3845,9.262392846390688e-2,5.195956558454253e-3,3.866966181589704e-7,8.228836662986145e-8,1.051606670715170e-4,3.3401,4.55,6.53,7.73,4.45,0.535963,4.349813,13.354968,478.141548,4.638038,5.061053,4.493964,5.475970684935033e-3,3.81860255460287e-4
27,1.242285629565158e-4,3.4928,1.226348741541658e-4,3.1909,1.050622415562002e-4,4.7699,9.715726514889498e-5,4.1567,9.221062939767127e-5,2.0816,1.167275657665130e-4,3.2348,1.1035910634754083e-1,4.5559619969654614e-3,4.607600213981733e-7,7.214624605082735e-8,9.880232495032071e-5,4.5321,4.55,6.53,7.73,4.45,0.528980,1.350906,17.322361,2.425931,3.550522,4.986625,3.147104,4.176913565876238e-3,3.801757698447107e-4
28,1.165788567052359e-4,3.4842,1.167850987855400e-4,2.8125,9.003831705039979e-5,6.4348,9.012794572774223e-5,3.9561,8.932626843325988e-5,3.7817,1.138805398839897e-4,3.5792,1.254202549798426e-1,3.8481463834523382e-3,5.236611475928236e-7,6.093181082577924e-8,8.890411727723962e-5,2.1900,4.55,6.53,7.73,4.45,0.920226,1.194711,22.110319,2.104851,5.182528,9.999501,6.269828,3.291893159664319e-3,3.94963944760096e-4
29,1.096874546684074e-4,3.3318,1.109103243768773e-4,3.0026,8.348280158642641e-5,0.5763,8.435047385888692e-5,3.5814,8.055636985180670e-5,3.0696,1.027153270128820e-4,4.0393,1.3464374683940852e-1,3.136423098616959e-3,5.622012345063108e-7,4.9664487786989277e-8,9.136594425111186e-5,1.0226,4.55,6.53,7.73,4.45,0.931487,1.311015,18.337108,2.285555,6.125443,6.793315,4.683561,4.018503621546186e-3,3.511783052215488e-4
30,1.039210094332378e-4,3.0019,1.052938733819288e-4,1.1222,8.826607741209419e-5,-0.0762,7.965331872875449e-5,4.8171,8.035102557105052e-5,3.1158,9.906830788030238e-5,5.3716,1.3818280843563546e-1,2.49553601945901e-3,5.769956947757493e-7,3.9518175842159904e-8,8.582267855266258e-5,4.8086,4.55,6.53,7.73,4.45,0.828589,5.296680,14.682005,2.743047,4.127445,5.336849,5.559247,5.636807635207387e-3,2.659450797413774e-4
32,9.462136653952487e-5,3.1620,1.049501365814220e-4,2.5622,8.379640777756690e-5,4.8298,6.654524106941467e-5,3.7009,6.910299023982024e-5,4.2608,7.885190406260334e-5,4.8927,1.2521557418131932e-1,1.377130530889216e-3,5.22864709267021e-7,2.1808978606785654e-8,7.210990536890413e-5,4.8923,4.55,6.53,7.73,4.45,0.805778,0.951803,8.304222,1.768681,5.490291,5.693802,4.107214,8.7661918400333e-3,2.0991484046751715e-4
34,8.526339255239265e-5,2.8438,8.969447239892655e-5,2.1273,6.524154844859330e-5,3.6892,6.318562971245672e-5,3.6680,6.154449373465489e-5,-23.2242,7.293841497551762e-5,3.5011,9.349218004533733e-2,6.597372378128044e-4,3.903940285785953e-7,1.044574207338766e-8,6.318795054026162e-5,6.0330,4.55,6.53,7.73,4.45,0.524186,0.975401,8.153236,2.310578,317.280015,4.549774,4.106688,8.862028486509292e-3,1.386341231508051e-4
36,8.003026017134277e-5,2.7950,9.259227778986621e-5,0.2986,6.743262426244201e-5,0.6932,5.361694521288594e-5,5.1277,2.713224351780360e-4,-26.1118,6.416033207585956e-5,3.7393,5.720393644122187e-2,2.546464304921319e-4,2.388661635938128e-7,4.033141991000973e-9,5.054662663944698e-5,4.9849,4.55,6.53,7.73,4.45,1.012179,4.668543,17.036674,2.474812,335.710141,8.639695,5.971388,6.550093859274212e-3,7.922436721259282e-5
38,7.298886389429312e-5,3.0836,8.821744578341525e-5,2.1235,6.277437416081693e-5,5.2352,4.750867738950729e-5,-8.6347,2.629358504558553e-4,35.5457,5.924373349120072e-5,0.6880,2.8753067874885015e-2,8.039502077914944e-5,1.2006587618331287e-7,1.273830963213294e-9,4.788908376867666e-5,2.1907,4.55,6.53,7.73,4.45,0.770240,1.055850,11.666566,349.309080,351.818893,6.307779,3.607500,3.913989749523907e-3,3.6164363068135094e-5
40,6.803072095364872e-5,2.6766,8.279265409541607e-5,4.7813,5.117928013688817e-5,5.0400,8.449913126160627e-5,2.7306,4.171051472991222e-5,37.1789,6.187642723943031e-5,2.9618,1.1522185949311292e-2,1.8314638183213802e-5,4.811658911860386e-8,2.900413533848108e-10,4.503717672754002e-5,1.4692,4.55,6.53,7.73,4.45,0.785042,3.543013,15.628555,3.743276,370.628294,7.673472,7.974059,1.9482167451848364e-3,1.2272782547840359e-5
