# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T04:59:21Z
# N: 10000000  M: 14 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
23,1.688253968253968e-4,3.4163,1.630158730158730e-4,3.5899,1.449206349206349e-4,4.3575,1.461269841269841e-4,4.2684,1.455873015873016e-4,4.1980,1.559047619047619e-4,4.3532,2.3335103259565792e-2,4.956712965751716e-4,9.746702116814191e-8,7.853963549335176e-9,1.415238095238095e-4,4.3263,4.56,6.53,7.73,4.45,1.825274,1.326822,1.015926,1.961021,1.498687,1.268165,1.114503,7.533389308143335e-4,8.549293464036304e-5
24,1.573015873015873e-4,3.7992,1.494920634920635e-4,3.4235,1.315555555555555e-4,4.2861,1.328571428571428e-4,4.4222,1.333968253968254e-4,3.6966,1.409841269841270e-4,4.1951,2.0385882021084437e-2,3.464304912204403e-4,8.514977494300565e-8,5.491432060530391e-9,1.306031746031746e-4,4.0016,4.56,6.53,7.73,4.45,1.875910,1.652293,1.614847,1.226393,0.972431,1.332926,1.147429,8.876723863332682e-4,6.639191663640779e-5
25,1.440952380952381e-4,4.1723,1.413333333333333e-4,3.1394,1.212063492063492e-4,4.1205,1.215238095238095e-4,4.2035,1.247936507936508e-4,3.7252,1.308888888888889e-4,3.9475,1.8045332166201442e-2,3.247901463314786e-4,7.536867149886653e-8,5.146320912711323e-9,1.197777777777778e-4,3.9105,4.56,6.53,7.73,4.45,1.193641,1.365429,1.347421,1.319914,1.091647,1.412134,1.947693,1.0665029227952835e-3,4.090143712660483e-5
26,1.331111111111111e-4,3.2916,1.318412698412699e-4,3.9515,1.115555555555555e-4,4.2579,1.122857142857143e-4,3.9912,1.149206349206349e-4,3.8095,1.203809523809524e-4,4.2275,1.5436124313467137e-2,2.4215863501916512e-4,6.44760249153166e-8,3.83664223424175e-9,1.116825396825397e-4,3.8857,4.56,6.53,7.73,4.45,1.290889,1.508970,2.232822,1.696972,1.732421,1.561924,2.250689,8.471278861292814e-4,7.238124096392798e-5
27,1.269523809523810e-4,2.4720,1.213968253968254e-4,3.9240,1.028888888888889e-4,4.1871,1.042222222222222e-4,3.9979,1.077777777777778e-4,3.5314,1.112380952380952e-4,3.9722,1.3204816401224192e-2,1.7655321887443922e-4,5.5155010242730244e-8,2.7977417046839607e-9,1.031428571428571e-4,3.3615,4.56,6.53,7.73,4.45,1.762516,1.520059,2.084271,2.185888,2.075422,1.325233,1.873673,8.081633968515073e-4,7.783929737694506e-5
28,1.214603174603175e-4,3.2153,1.140000000000000e-4,2.8320,9.552380952380952e-5,4.4355,9.682539682539682e-5,3.9390,1.008253968253968e-4,5.1243,1.039047619047619e-4,3.3745,1.1452771235368142e-2,1.6183442828551946e-4,4.784041275725807e-8,2.5644124874539707e-9,9.860317460317460e-5,3.5301,4.56,6.53,7.73,4.45,2.062429,1.877050,1.571992,2.524632,1.320278,1.734045,2.833853,5.107205732753376e-4,5.876415158045393e-5
29,1.131746031746032e-4,3.4988,1.097142857142857e-4,2.3971,8.780952380952378e-5,4.4141,9.053968253968255e-5,2.9909,8.974603174603174e-5,4.9332,9.860317460317460e-5,4.2158,9.631420705837947e-3,1.0320911532898695e-4,4.023001893796534e-8,1.639011826002363e-9,9.092063492063491e-5,3.7724,4.56,6.53,7.73,4.45,1.785796,1.595978,1.827172,2.571493,2.914344,2.899950,2.746847,6.441809139415333e-4,4.142989402628521e-5
30,1.076507936507937e-4,3.5193,1.049523809523810e-4,3.0039,8.203174603174604e-5,4.0689,8.733333333333333e-5,3.3036,8.504761904761905e-5,4.5300,8.984126984126982e-5,3.7934,8.130730886954289e-3,7.71185696131182e-5,3.3971575796568724e-8,1.2245968788244713e-9,8.657142857142856e-5,3.7696,4.56,6.53,7.73,4.45,1.554484,1.700126,1.667914,1.941007,1.516618,2.491387,2.169106,6.762278058470298e-4,3.27440241382517e-5
32,9.517460317460318e-5,3.1001,9.463492063492065e-5,3.0824,7.187301587301587e-5,3.5440,7.695238095238096e-5,4.3758,7.180952380952379e-5,4.2138,8.180952380952382e-5,2.9631,5.277681068773811e-3,4.631972231724289e-5,2.2044785525501068e-8,7.326712284433203e-10,7.552380952380952e-5,3.6582,4.56,6.53,7.73,4.45,1.421337,1.293768,1.690815,2.039264,1.314880,1.373838,1.684634,3.545355667836272e-4,2.494150677001921e-5
34,8.866666666666668e-5,2.4578,8.653968253968252e-5,3.0288,6.571428571428571e-5,3.1560,6.641269841269840e-5,3.8610,6.533333333333334e-5,2.5900,7.463492063492065e-5,3.6300,3.3872295764168663e-3,2.038891924975794e-5,1.4149680925475835e-8,3.2337949287002776e-10,6.885714285714284e-5,3.7285,4.56,6.53,7.73,4.45,1.443343,0.771640,1.516858,1.979510,1.652090,2.027508,1.653800,4.175220454984894e-4,1.6348852462854145e-5
36,8.234920634920635e-5,3.0443,7.917460317460317e-5,3.3392,5.968253968253969e-5,3.2576,6.130158730158730e-5,3.1687,6.165079365079364e-5,2.9254,6.606349206349207e-5,3.1701,1.956041464957603e-3,1.0199516149845966e-5,8.171040169519057e-9,1.6184654030876797e-10,6.063492063492063e-5,4.2230,4.56,6.53,7.73,4.45,1.207181,1.471557,1.829440,1.174797,1.879470,1.961825,2.286758,2.268913042299754e-4,1.2867283122954267e-5
38,7.485714285714285e-5,2.8106,7.187301587301587e-5,2.8262,5.482539682539682e-5,3.0969,5.568253968253969e-5,3.6169,5.552380952380952e-5,3.7366,6.257142857142857e-5,3.1802,9.400076150990107e-4,1.1391934965721669e-6,3.927081938918678e-9,1.8168665516852473e-11,5.444444444444444e-5,4.3479,4.56,6.53,7.73,4.45,1.292344,1.562205,2.384523,1.887161,1.854810,2.293003,2.323211,1.69716961798244e-4,4.107420564566058e-6
