# commit: cff5bb5 (dirty)
# N: 1000000  M: 8 (converged=true, min=8, max=10)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# timestamp: 2026-02-19T02:03:01Z
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
23,2.544444444444444e-4,2.1320,2.533888888888889e-4,2.6021,1.607222222222222e-4,3.2401,1.668888888888889e-4,4.0571,1.632777777777778e-4,3.7720,1.794444444444444e-4,3.9091,3.027449565660297e-4,0e0,9.339571118546432e-9,0e0,1.606666666666667e-4,3.3480,4.53,6.51,7.83,4.56,0.611415,0.764816,1.412798,1.186999,0.785582,1.087533,1.119070,2.7971586085918384e-4,0e0
24,2.435000000000000e-4,2.5971,2.391666666666666e-4,2.6144,1.490000000000000e-4,3.3109,1.516666666666667e-4,3.8363,1.507777777777778e-4,3.0599,1.642222222222222e-4,3.7458,6.854909308092381e-5,0e0,2.1038299953532895e-9,0e0,1.491666666666667e-4,4.4430,4.53,6.51,7.83,4.56,0.802923,0.731649,1.969591,0.956038,1.184734,1.207600,1.274711,8.854475018628981e-5,0e0
25,2.283333333333333e-4,2.5991,2.272222222222222e-4,2.5650,1.400000000000000e-4,3.9373,1.422222222222222e-4,2.9705,1.437222222222222e-4,3.1975,1.535000000000000e-4,4.0072,0e0,0e0,0e0,0e0,1.335000000000000e-4,4.3388,4.53,6.51,7.83,4.56,0.733233,1.111061,1.131104,1.858962,1.500949,1.486818,1.589859,0e0,0e0
26,2.194444444444445e-4,2.0859,2.158333333333333e-4,2.9720,1.272777777777778e-4,4.8372,1.346666666666667e-4,3.2391,1.326666666666667e-4,3.3513,1.398888888888889e-4,3.9762,0e0,0e0,0e0,0e0,1.253888888888889e-4,3.5149,4.53,6.51,7.83,4.56,0.576661,1.162135,1.499751,1.275067,0.923248,1.861180,1.502815,0e0,0e0
27,2.107222222222222e-4,1.9328,2.026666666666667e-4,2.7933,1.162222222222222e-4,4.9936,1.255555555555556e-4,3.9881,1.263333333333333e-4,3.3530,1.317222222222222e-4,2.9293,0e0,0e0,0e0,0e0,1.166111111111111e-4,3.5201,4.53,6.51,7.83,4.56,0.854916,1.259086,1.265874,1.601598,1.583818,1.124120,1.823586,0e0,0e0
28,2.042777777777778e-4,2.4105,1.946111111111111e-4,1.8801,1.057777777777778e-4,4.5517,1.161666666666667e-4,4.1149,1.171666666666667e-4,4.1019,1.255000000000000e-4,2.7775,0e0,0e0,0e0,0e0,1.100555555555555e-4,3.3833,4.53,6.51,7.83,4.56,1.046142,1.403330,2.415566,2.117804,2.490822,1.799788,2.628987,0e0,0e0
29,1.933333333333333e-4,2.6653,1.895000000000000e-4,1.6166,9.877777777777778e-5,2.7112,1.083888888888889e-4,4.4409,1.091111111111111e-4,3.6576,1.192777777777778e-4,3.0272,0e0,0e0,0e0,0e0,1.033333333333333e-4,4.2306,4.53,6.51,7.83,4.56,1.104090,0.975954,2.399568,1.222090,1.768107,1.792535,2.646966,0e0,0e0
30,1.863333333333333e-4,1.9726,1.840555555555556e-4,1.4311,9.633333333333333e-5,3.8925,9.966666666666666e-5,3.9789,1.032777777777778e-4,4.0001,1.130555555555555e-4,4.2587,0e0,0e0,0e0,0e0,9.511111111111112e-5,2.1042,4.53,6.51,7.83,4.56,0.815443,0.891161,1.392731,1.564171,1.455022,1.401009,1.801964,0e0,0e0
32,1.754444444444444e-4,1.7185,1.766111111111111e-4,1.3952,8.155555555555555e-5,3.4189,8.911111111111112e-5,3.5902,8.961111111111111e-5,3.7407,9.672222222222222e-5,3.6938,0e0,0e0,0e0,0e0,9.316666666666666e-5,3.2148,4.53,6.51,7.83,4.56,0.667612,0.755585,1.280944,1.519389,1.457607,1.102819,1.232079,0e0,0e0
34,1.673333333333334e-4,1.4824,1.686666666666667e-4,1.6302,7.777777777777778e-5,3.0174,7.961111111111111e-5,3.6467,8.172222222222222e-5,3.0349,8.972222222222221e-5,2.0611,0e0,0e0,0e0,0e0,7.777777777777778e-5,4.8008,4.53,6.51,7.83,4.56,0.998843,0.748756,1.242524,2.150326,1.251996,0.754298,1.704685,0e0,0e0
36,1.607777777777778e-4,1.7019,1.604444444444444e-4,1.8643,6.827777777777778e-5,3.7416,7.188888888888889e-5,3.5694,7.494444444444444e-5,2.2360,8.566666666666667e-5,3.1696,0e0,0e0,0e0,0e0,7.022222222222222e-5,2.1822,4.53,6.51,7.83,4.56,0.618454,0.683978,2.640410,1.236802,1.766895,0.863224,1.773391,0e0,0e0
38,1.522222222222222e-4,1.5292,1.520555555555556e-4,1.7620,6.316666666666667e-5,3.2612,6.527777777777778e-5,2.2560,7.216666666666667e-5,3.2789,7.522222222222222e-5,2.7933,0e0,0e0,0e0,0e0,6.888888888888889e-5,2.3979,4.53,6.51,7.83,4.56,0.908611,1.061228,1.963315,2.532757,1.173246,1.674537,1.796184,0e0,0e0
40,1.483333333333333e-4,1.4361,1.462222222222222e-4,1.8820,5.749999999999999e-5,4.5164,6.383333333333333e-5,2.6126,6.305555555555555e-5,4.3288,7.394444444444443e-5,3.5433,0e0,0e0,0e0,0e0,6.188888888888889e-5,3.9421,4.53,6.51,7.83,4.56,0.545234,0.605733,2.216227,3.271973,1.773939,1.700169,1.374455,0e0,0e0
42,1.416666666666667e-4,1.9592,1.383888888888889e-4,1.4523,5.038888888888889e-5,3.2618,5.727777777777777e-5,4.6642,5.811111111111111e-5,3.3397,6.300000000000000e-5,4.9962,0e0,0e0,0e0,0e0,5.655555555555556e-5,3.4525,4.53,6.51,7.83,4.56,1.076473,0.828243,2.519842,1.800490,0.555998,3.632257,2.402910,0e0,0e0
44,1.351111111111111e-4,1.5445,1.364444444444444e-4,0.5722,4.922222222222222e-5,1.4011,5.111111111111111e-5,4.0126,5.377777777777777e-5,4.7174,5.827777777777778e-5,2.1361,0e0,0e0,0e0,0e0,5.250000000000000e-5,5.1065,4.53,6.51,7.83,4.56,0.885086,0.945876,3.155211,1.635994,2.319718,1.435733,2.305837,0e0,0e0
46,1.320555555555555e-4,0.4968,1.348333333333333e-4,1.0729,4.727777777777778e-5,2.5780,4.772222222222222e-5,4.1808,4.688888888888889e-5,3.9263,5.716666666666667e-5,3.5725,0e0,0e0,0e0,0e0,4.483333333333333e-5,4.4697,4.53,6.51,7.83,4.56,0.556672,1.026688,1.839838,4.076877,2.101163,2.342217,3.358171,0e0,0e0
48,1.322222222222222e-4,0.8944,1.302222222222222e-4,1.8057,4.400000000000000e-5,4.3788,4.261111111111111e-5,3.4153,4.533333333333334e-5,1.9223,4.988888888888889e-5,3.7519,0e0,0e0,0e0,0e0,4.322222222222223e-5,2.6696,4.53,6.51,7.83,4.56,0.835829,1.375857,3.653717,3.416217,2.160849,3.275128,3.941213,0e0,0e0
