step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu
80,6.143141153081511e-2,-0.0000,6.958250497017893e-4,4.7103,0.000000000000000e0,-0.0000,0.000000000000000e0,-2486.2737,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
82,6.143141153081511e-2,-0.0000,7.952286282306163e-4,-0.0000,0.000000000000000e0,-0.0000,1.000000000000000e-3,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
84,6.143141153081511e-2,-0.0000,6.958250497017893e-4,5.6073,0.000000000000000e0,-0.0000,0.000000000000000e0,2610.6380,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
86,6.143141153081511e-2,-0.0000,6.958250497017893e-4,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
88,6.143141153081511e-2,-0.0000,6.958250497017893e-4,6.7815,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
90,6.143141153081511e-2,-0.0000,5.964214711729623e-4,-6.0079,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
92,6.143141153081511e-2,-0.0000,7.952286282306163e-4,-18.6485,0.000000000000000e0,-0.0000,0.000000000000000e0,-2859.3601,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
94,6.143141153081511e-2,-0.0000,8.946322067594434e-4,6.2750,0.000000000000000e0,-0.0000,1.000000000000000e-3,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
96,6.143141153081511e-2,-0.0000,6.958250497017893e-4,19.4595,0.000000000000000e0,-0.0000,0.000000000000000e0,2983.7185,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
98,6.143141153081511e-2,-0.0000,5.964214711729623e-4,7.5523,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
100,6.143141153081511e-2,-0.0000,5.964214711729623e-4,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
